Soma de client_id,Soma de current_age,Soma de retirement_age,Soma de birth_year,Soma de birth_month,gender,address,Soma de latitude,Soma de longitude,Soma de per_capita_income,yearly_income,Soma de total_debt,Soma de credit_score,Soma de num_credit_cards
1932,26,60,1993,12,Female,15 Valley Stream Drive,3259,-11658,9352,19069,23153,658,1
1540,55,61,1964,9,Female,1513 Valley Boulevard,3933,-8454,21992,44839,63194,625,3
287,42,73,1977,8,Female,152 El Camino Boulevard,2931,-9501,21178,43181,57199,710,3
1703,47,65,1972,8,Female,1532 Birch Drive,3908,-10855,24115,49169,65994,747,2
1507,39,67,1980,12,Female,1533 Martin Luther King Lane,4248,-8903,21749,44344,82822,744,3
948,53,65,1966,12,Female,1540 El Camino Avenue,2674,-8012,18205,37119,55010,718,5
1106,62,62,1958,2,Female,1563 Summit Boulevard,3413,-11824,16842,20783,23623,699,3
738,57,67,1962,10,Female,15664 Lafayette Street,4002,-10525,31377,63974,131731,707,4
95,25,67,1994,8,Female,157 Eighth Street,4762,-12216,43432,88554,142154,701,2
808,38,66,1981,11,Female,1583 Grant Lane,4078,-7324,17679,36045,0,683,3
1241,40,69,1979,3,Female,159 Plum Avenue,4043,-8438,24227,49396,39549,814,3
1722,24,65,1995,9,Female,162 Rose Drive,3796,-12126,12089,24648,32962,600,1
919,54,62,1965,3,Female,1635 Sussex Lane,3881,-7675,33295,67890,112564,698,2
1177,36,66,1983,3,Female,1644 Park Avenue,3967,-7575,31719,64672,56485,695,4
1016,41,53,1978,8,Female,165 Fourth Street,3295,-11719,0,553,740,719,3
1706,24,67,1995,4,Female,165 Plum Avenue,3483,-8917,13161,26839,70077,805,2
1118,25,70,1994,8,Female,166 Littlewood Lane,3406,-11835,40761,83104,222502,714,5
1716,18,65,2001,4,Female,1692 Hillside Avenue,3221,-9867,12583,25654,55761,746,1
1334,38,65,1981,4,Female,17 Tenth Avenue,430,-7887,19433,39627,47793,718,4
1032,62,60,1957,6,Female,171 Catherine Lane,3681,-11971,17301,26975,17212,673,2
153,76,71,1943,8,Female,172 Birch Street,3529,-11132,21950,27484,16803,660,4
645,63,64,1957,2,Female,174 Catherine Boulevard,3391,-11823,13075,26661,42667,750,5
995,40,64,1979,5,Female,1752 Martin Luther King Avenue,3546,-9751,49868,101679,307856,592,1
891,38,66,1981,10,Female,177 Maple Boulevard,3544,-9435,17093,34854,40722,746,5
1253,32,64,1987,10,Female,1782 South Boulevard,4144,-7304,28814,58749,113308,768,6
969,24,70,1996,2,Female,18360 Valley Avenue,3381,-11779,28884,58893,113715,666,3
232,57,66,1962,5,Female,186 First Drive,4158,-738,33919,69159,135111,786,3
1560,61,60,1958,5,Female,1861 Fourth Boulevard,4261,-9414,18849,18452,16827,741,6
1157,33,58,1986,12,Female,1884 Lake Avenue,3298,-9689,28213,57526,82715,812,1
167,26,72,1994,1,Female,189 Washington Street,3588,-8001,18657,38036,0,743,3
1839,59,60,1960,6,Female,1892 Catherine Street,3713,-8596,13456,27439,84665,631,1
423,28,70,1991,3,Female,19 El Camino Drive,3362,-11205,26023,53053,42396,696,2
1038,33,65,1986,8,Female,19 Valley Stream Drive,396,-8293,18025,36755,96292,810,2
349,40,61,1979,12,Female,1943 Birch Street,4084,-8163,21201,43229,96831,685,2
1222,42,66,1977,12,Female,1957 Park Lane,4239,-11378,14094,28738,48786,600,1
719,53,66,1966,11,Female,1959 Forest Street,4227,-8906,24589,50139,109623,767,3
935,18,71,2002,1,Female,197 George Drive,315,-8285,15701,32014,61420,728,3
976,67,69,1952,8,Female,198 Lincoln Street,4109,-7342,30736,62669,70317,760,5
1792,18,68,2001,11,Female,1987 Hillside Lane,4402,-7223,15062,30712,38054,723,2
1944,62,65,1957,11,Female,2 Elm Drive,3895,-8454,24218,49378,104480,740,4
96,69,66,1950,12,Female,20 Oak Street,3389,-11778,38948,99825,4344,685,4
934,32,63,1987,12,Female,2017 Ninth Drive,4238,-7639,20159,41106,106963,762,3
104,33,65,1986,11,Female,2043 Mill Street,3269,-9701,18334,37384,49182,713,3
1011,27,66,1992,8,Female,2058 Spruce Street,2775,-8264,15724,32061,58904,676,1
156,36,67,1983,7,Female,2062 Fourth Street,3408,-11746,13739,28007,0,691,4
1040,28,67,1991,10,Female,207 Washington Lane,3986,-7482,39269,80060,0,689,2
1942,77,63,1942,3,Female,2073 South Avenue,4071,-7399,0,1,0,673,3
1602,41,66,1979,2,Female,2079 Maple Drive,4038,-7788,14650,29864,44902,717,2
1953,29,68,1991,1,Female,21 Lafayette Drive,4359,-8828,21579,43996,16260,842,3
965,18,68,2002,1,Female,2108 Spruce Lane,3858,-1214,20670,42142,116857,713,2
655,49,66,1970,3,Female,211 Lexington Drive,4144,-8218,14880,30340,64661,552,3
1648,66,69,1953,5,Female,211 Valley Street,4076,-7459,91180,185909,461854,621,5
209,61,67,1959,1,Female,2111 Burns Street,3165,-10615,14322,29206,25966,716,6
1366,25,63,1994,9,Female,212 Lincoln Lane,3033,-8165,19617,40000,127951,767,3
1263,56,70,1963,8,Female,212 Mountain View Lane,3395,-8454,17977,36652,60949,600,3
706,33,68,1986,9,Female,212 Ocean View Avenue,3802,-12254,33148,67589,106072,602,2
1056,24,65,1995,3,Female,215 Elm Lane,3428,-11922,25524,52036,26232,703,3
1539,42,61,1977,3,Female,215 Main Drive,4282,-8325,28463,58034,129546,676,2
1021,21,67,1998,11,Female,218 East Street,3414,-11785,31699,64630,92847,751,2
669,38,62,1981,9,Female,2182 Martin Luther King Street,4469,-7345,20177,41141,71060,683,2
1293,32,65,1988,1,Female,219 Federal Street,2945,-9506,24217,49374,108192,706,2
462,63,57,1956,9,Female,219 Ocean Avenue,4062,-7536,24571,50696,32793,767,5
1591,58,66,1961,6,Female,2200 Third Drive,4828,-12262,16537,33717,58236,698,6
228,54,66,1966,1,Female,2206 South Drive,2855,-8239,15524,31655,46405,623,1
1463,80,69,1940,1,Female,221 Catherine Boulevard,4215,-7453,14515,9766,66,732,4
338,68,72,1951,8,Female,222 Lafayette Lane,4283,-7863,24651,50258,0,686,3
713,25,71,1994,8,Female,224 Mountain View Boulevard,4819,-11438,17040,34745,26503,691,4
1294,39,63,1980,7,Female,2244 Mill Boulevard,4069,-7426,28993,59114,132715,730,2
853,29,67,1990,8,Female,225 Lake Boulevard,4246,-8337,36817,75070,161525,723,1
1467,26,69,1993,9,Female,229 Norfolk Street,4258,-8314,26120,53254,131334,736,1
1304,24,70,1995,8,Female,229 River Avenue,4099,-7434,44540,90812,175569,850,3
1818,85,65,1934,6,Female,23 11th Avenue,3673,-7604,29485,41843,1741,500,3
1575,51,68,1968,5,Female,23 12th Boulevard,2719,-8249,28272,57646,127892,724,4
692,52,65,1967,8,Female,23 Sussex Lane,4292,-8288,20942,42701,53696,701,4
1937,65,62,1955,2,Female,230 Plum Avenue,3878,-907,25350,17056,29112,667,5
996,63,67,1956,11,Female,2302 Catherine Lane,2602,-8016,19712,40194,107765,738,6
801,82,69,1938,2,Female,2303 12th Lane,3273,-10195,14989,23175,1626,723,5
691,34,64,1985,12,Female,232 Jefferson Boulevard,3839,-8693,21991,44838,109951,561,1
397,30,65,1989,4,Female,2328 Little Creek Avenue,3995,-7516,10016,20424,14743,770,3
1643,28,64,1991,6,Female,233 Oak Drive,4547,-12237,22599,46077,101450,686,1
1307,52,61,1967,4,Female,2332 Elm Lane,3789,-12203,42685,87030,156474,646,5
155,86,69,1933,11,Female,235 Fourth Street,3131,-893,14383,9678,812,688,6
1117,49,68,1970,4,Female,2350 Bayview Street,4136,-9797,13582,27691,24480,687,2
977,83,67,1936,12,Female,237 Hill Boulevard,3259,-9668,13917,22873,0,710,5
1695,45,66,1974,12,Female,238 Ocean View Lane,3394,-11799,27973,57027,21798,709,4
1266,35,54,1984,9,Female,239 South Drive,3951,-7617,22590,46063,106528,618,1
810,77,65,1942,5,Female,239 West Drive,3768,-8522,16521,22540,16946,705,6
1249,18,65,2002,1,Female,24 Lafayette Street,3084,-8327,19681,40131,48468,721,1
356,50,73,1969,10,Female,24 River Avenue,2719,-8024,20315,41420,0,691,5
406,23,64,1996,5,Female,2418 Mill Drive,373,-1220,41750,85128,108678,641,1
1336,18,67,2001,7,Female,243 Forest Lane,4066,-7384,26481,53995,154800,673,1
1561,78,67,1941,5,Female,245 Martin Luther King Drive,350,-8094,26707,51014,23366,759,4
1296,60,64,1959,11,Female,2468 Spruce Drive,287,-8134,22896,46683,93126,788,5
772,62,65,1957,10,Female,24684 Ocean View Boulevard,4547,-12237,22599,46075,139335,741,3
1178,59,68,1960,11,Female,2475 Little Creek Boulevard,3056,-9786,25872,52754,38191,693,5
30,23,59,1996,8,Female,2478 El Camino Avenue,3196,-9405,19119,38983,96098,577,1
999,19,62,2000,10,Female,2481 Hillside Street,4226,-7111,23691,48308,106571,703,4
14,79,57,1940,12,Female,2487 Martin Luther King Drive,2139,-15801,21314,32232,21134,652,5
1530,64,68,1956,2,Female,25 Elm Street,3293,-9722,0,1785,2892,732,3
1863,44,61,1975,12,Female,25 Hill Drive,4229,-8522,21639,44124,107162,850,1
1816,39,69,1980,4,Female,251 Main Lane,4047,-8613,16794,34241,79551,784,2
1557,50,66,1970,2,Female,2516 Essex Drive,4545,-12279,23687,48295,109558,707,3
483,49,68,1971,2,Female,253 West Drive,4853,-12231,19604,39969,68456,713,3
936,18,67,2001,6,Female,255 Bayview Street,3515,-11906,20460,41717,27174,718,5
1976,33,69,1986,3,Female,2552 Forest Avenue,3961,-7685,27906,56897,0,699,5
782,51,66,1968,7,Female,2554 11th Lane,4128,-8436,18229,37169,93844,722,3
660,31,68,1988,9,Female,256 Jefferson Street,3755,-7746,21602,44041,109159,680,2
863,60,68,1959,12,Female,256 Ocean Drive,354,-9311,16877,34406,1636,774,3
1817,52,64,1968,2,Female,25622 Lake Street,2955,-9527,36253,73920,166395,683,1
818,54,66,1965,3,Female,2571 Plum Avenue,2798,-8066,15318,31240,26005,770,5
1299,40,70,1979,11,Female,2578 Park Boulevard,3929,-8576,18295,37299,31923,723,2
928,59,66,1960,12,Female,26 Martin Luther King Drive,2976,-9538,15862,32347,82667,784,7
1317,41,68,1978,7,Female,26 Valley Stream Drive,3939,-7451,15157,30910,42507,749,4
1728,47,63,1972,10,Female,2614 Eighth Lane,4435,-8907,18937,38615,74337,601,4
473,33,66,1986,10,Female,26191 George Drive,4238,-831,13820,28181,37929,682,2
1258,79,65,1940,5,Female,265 Little Creek Street,3399,-11753,19851,15470,15349,789,7
1048,59,63,1960,12,Female,265 Ocean Drive,2979,-9582,26422,53878,78143,779,4
1132,18,69,2002,2,Female,2668 Lafayette Avenue,284,-806,20392,41579,50190,694,2
50,68,72,1951,7,Female,267 Birch Boulevard,4582,-8806,19243,39238,85457,702,4
541,51,70,1968,7,Female,2699 Littlewood Avenue,3563,-9595,14293,29144,35268,645,1
647,31,72,1988,7,Female,27 Birch Avenue,3652,-11939,13194,26900,74083,758,2
1022,47,64,1972,12,Female,27 Summit Street,3498,-8054,17595,35876,50190,635,3
178,47,66,1972,7,Female,27 Third Avenue,3901,-9428,24057,49045,0,727,3
1089,31,75,1988,9,Female,2725 Jefferson Drive,3822,-8574,25258,51501,140481,729,3
631,83,65,1936,5,Female,273 Elm Drive,3546,-9751,17070,33811,2206,682,7
185,47,67,1973,1,Female,276 Fifth Boulevard,4066,-7419,15175,30942,71066,779,3
92,76,68,1943,10,Female,2760 Forest Drive,4354,-9673,21089,31145,5132,689,4
657,83,68,1936,11,Female,2780 Martin Luther King Drive,4445,-9578,20697,33897,533,705,4
102,32,67,1987,7,Female,2785 Elm Drive,3376,-11797,16289,33212,59638,649,1
1305,46,73,1974,2,Female,2794 Seventh Drive,3533,-8988,19115,38971,0,784,3
1995,64,62,1955,7,Female,28 First Lane,3992,-7771,20943,39206,9219,605,4
461,42,68,1977,12,Female,28 Hillside Boulevard,423,-8348,32078,65403,80057,784,4
1308,36,67,1984,2,Female,28 Lexington Drive,4736,-1221,28919,58964,71890,619,1
1323,36,68,1983,3,Female,28 Second Boulevard,3234,-1087,15407,31414,42233,719,4
809,54,66,1965,5,Female,2855 Sixth Avenue,4176,-8815,41979,85596,159101,618,1
978,21,62,1998,7,Female,288 North Avenue,3006,-8993,27603,56280,81803,760,1
1492,63,58,1957,2,Female,2883 Ocean View Boulevard,4732,-12199,32697,56635,13015,786,8
1049,66,67,1953,11,Female,289 Ocean View Avenue,2577,-802,17893,36481,81550,850,6
150,51,73,1968,8,Female,2897 West Street,387,-7724,35062,71490,0,782,3
710,60,68,1959,9,Female,29 12th Avenue,4212,-8925,25698,52397,72810,729,3
1484,92,72,1927,8,Female,290 Forest Street,3228,-11073,30818,57732,2261,726,6
1078,56,65,1963,12,Female,291 Seventh Drive,406,-8898,28237,57576,161107,589,2
1901,63,69,1956,3,Female,292 First Avenue,4369,-8476,16542,33728,107287,730,3
1326,52,73,1968,2,Female,292 Maple Drive,4049,-7448,32610,66489,83828,731,2
1497,55,64,1964,12,Female,292 Tenth Street,3853,-12144,17435,35553,76077,623,1
168,51,56,1968,7,Female,2920 11th Boulevard,3027,-877,15553,31713,42895,646,1
1850,18,61,2001,9,Female,293 South Street,3194,-9485,16183,32998,45196,736,1
290,27,66,1992,3,Female,293 Wessex Street,424,-836,49458,100837,61377,687,2
177,54,66,1965,12,Female,294 Bayview Lane,351,-900,28570,58248,107130,728,4
1576,88,65,1932,1,Female,2947 Lake Lane,4266,-8338,24578,36764,839,712,8
1335,51,66,1968,10,Female,29693 Bayview Drive,3356,-11763,47991,97845,255288,836,4
1806,59,62,1961,2,Female,299 11th Street,4231,-7164,39418,80371,108499,822,1
1191,25,69,1994,12,Female,299 Oak Boulevard,4519,-12324,18098,36902,60538,711,1
708,63,63,1957,1,Female,3 Madison Street,4071,-7399,163145,249925,202328,722,4
245,39,65,1980,7,Female,3 Main Street,2611,-8039,28826,58774,94053,528,2
151,18,65,2002,2,Female,303 Lexington Drive,2623,-8013,27916,56921,115330,823,1
377,80,67,1940,1,Female,305 Pine Avenue,4739,-12226,24884,39110,363,750,5
69,54,67,1965,10,Female,3067 First Street,4052,-8147,18794,38318,93284,748,6
1418,25,69,1994,5,Female,309 River Avenue,4413,-8952,13210,26939,69587,752,1
391,85,66,1934,7,Female,31 Hill Boulevard,3369,-7889,19025,35270,1769,731,6
1103,45,70,1974,5,Female,31 Jefferson Boulevard,4709,-11646,12618,25723,34007,746,3
505,39,63,1980,12,Female,31 Lincoln Avenue,2577,-8029,14901,30383,58466,609,2
1727,46,67,1973,10,Female,31 Oak Avenue,340,-8103,23917,48762,143208,771,6
1640,67,71,1952,10,Female,311 Washington Lane,4189,-8404,17144,34954,5942,729,3
709,26,66,1993,9,Female,3114 East Street,4292,-8884,21057,42931,48783,742,3
1179,50,71,1969,7,Female,312 Burns Boulevard,3667,-763,24312,49570,43645,752,5
110,52,72,1967,10,Female,31204 El Camino Lane,3026,-9774,25594,52186,42852,737,4
111,25,65,1994,10,Female,3124 Madison Drive,3379,-8247,14717,30004,67526,738,3
1600,62,66,1957,9,Female,314 Fourth Street,4767,-12218,49629,101193,124771,747,3
1383,68,64,1951,4,Female,315 Norfolk Lane,4239,-711,31849,59938,36978,670,1
1359,35,70,1984,7,Female,316 Lexington Boulevard,3667,-763,22084,45025,49878,691,2
1082,34,67,1985,10,Female,316 Valley Stream Avenue,3723,-11949,16643,33934,42945,622,3
137,33,65,1986,7,Female,3177 Oak Avenue,3633,-8236,20142,41069,64073,644,3
723,59,68,1960,5,Female,3179 Seventh Drive,2976,-9538,17359,35397,55112,828,5
29,68,60,1951,8,Female,318 Spruce Boulevard,4247,-7096,18682,27358,13557,665,2
1327,20,67,1999,12,Female,3183 Burns Boulevard,4594,-12267,21093,43006,26144,688,2
534,27,74,1993,2,Female,31919 Summit Boulevard,4172,-936,29680,60510,23196,790,3
1466,36,75,1983,4,Female,3194 Norfolk Street,3864,-7561,17624,35933,23451,812,2
1411,57,66,1962,6,Female,3196 Elm Boulevard,4192,-883,33847,69007,52218,720,4
1767,21,65,1998,9,Female,3208 El Camino Street,397,-8638,23355,47622,87054,709,2
1248,51,71,1968,7,Female,32299 Federal Street,4268,-8901,21278,43386,2192,698,3
1528,78,73,1942,1,Female,324 Lafayette Drive,3261,-9328,17311,27992,1058,695,6
941,56,72,1963,6,Female,3248 Hill Drive,4334,-7367,22273,45416,82611,713,1
1427,34,66,1985,10,Female,326 Elm Lane,3519,-8083,49477,100880,210445,770,1
51,29,67,1991,2,Female,3260 Hillside Lane,3629,-866,25166,51303,106248,688,3
76,22,63,1997,8,Female,3269 River Street,4023,-8337,25313,51613,62635,649,2
135,64,69,1955,6,Female,327 Lafayette Boulevard,3972,-8259,18680,38088,51679,691,2
896,27,65,1993,2,Female,327 Seventh Boulevard,3804,-8445,18278,37268,50388,626,1
1237,46,66,1973,9,Female,3276 Maple Street,4237,-8786,15770,32150,47179,717,6
1951,48,66,1971,5,Female,328 Birch Street,3913,-7669,31075,63355,0,708,5
1565,37,66,1983,1,Female,33 Mill Street,3909,-8451,18959,38656,47523,584,1
964,48,66,1971,12,Female,33 North Avenue,4084,-7399,22278,45422,83940,689,4
427,44,66,1975,11,Female,33 Pine Lane,3615,-855,15955,32527,74331,705,3
702,46,68,1973,7,Female,33 Tenth Street,4084,-734,34873,71103,136853,721,4
1422,66,66,1953,7,Female,330 Martin Luther King Lane,3551,-7873,18340,36052,6602,767,4
1020,29,66,1991,1,Female,331 Essex Drive,4203,-8808,26545,54122,166903,796,4
1813,35,66,1984,4,Female,334 Birch Drive,3582,-8701,27637,56350,120125,808,4
1417,54,68,1965,3,Female,336 Catherine Lane,4263,-8361,25838,52680,87082,835,5
612,88,67,1931,9,Female,336 North Street,3909,-8451,18959,16296,667,838,7
802,35,67,1984,3,Female,3369 Wessex Avenue,3874,-12125,29367,59872,95927,752,4
1801,18,64,2001,9,Female,3371 Madison Boulevard,3329,-1173,15520,31644,70064,480,1
55,61,68,1958,3,Female,3374 Littlewood Street,3792,-12234,21869,44583,85531,717,5
1809,42,71,1977,9,Female,338 Bayview Lane,3881,-7772,35905,73208,115827,664,6
997,57,67,1963,2,Female,339 Little Creek Lane,3264,-11698,26957,54963,105623,675,4
1713,18,68,2001,11,Female,3395 Spruce Drive,391,-9462,16795,34242,0,837,1
1281,92,61,1927,12,Female,34 Bayview Drive,341,-11738,14632,26546,2480,689,6
1394,30,58,1989,4,Female,341 Hill Drive,3863,-9024,28373,57853,131828,558,4
12,18,63,2002,2,Female,345 George Avenue,3806,-789,18531,37785,58187,748,1
213,37,68,1982,5,Female,345 George Street,3291,-9662,27057,55172,96779,629,3
975,28,67,1991,5,Female,34542 Ninth Drive,4288,-7885,14456,29478,39224,675,2
537,19,71,2000,10,Female,35 Fifth Street,3801,-12138,31600,64428,122968,703,2
1018,90,71,1929,10,Female,350 Main Boulevard,2957,-8121,17142,31805,614,755,6
1656,35,69,1984,5,Female,350 Third Avenue,4587,-9537,20179,41141,81016,706,3
1912,37,60,1982,7,Female,3510 Mountain View Street,4496,-9326,22059,44976,134335,684,1
1330,65,61,1954,12,Female,35187 West Lane,344,-11972,33097,35404,30887,575,3
1033,18,58,2002,2,Female,352 George Street,4307,-8249,16598,33844,42109,684,2
271,30,65,1989,7,Female,352 Hill Lane,4565,-12266,20649,42101,70460,685,1
1298,32,70,1987,12,Female,3535 West Drive,3401,-1182,12557,25603,26348,729,2
280,40,66,1979,10,Female,3539 Lincoln Boulevard,3792,-12234,21869,44585,81825,684,5
646,38,65,1981,12,Female,354 Federal Street,4147,-8167,21402,43634,73037,786,3
1835,25,65,1994,8,Female,355 Burns Boulevard,4086,-7678,16519,33682,42690,793,1
220,33,67,1986,11,Female,3550 Sixth Boulevard,381,-12263,30335,61846,12525,722,4
27,78,63,1941,8,Female,3553 Mountain View Drive,3228,-900,22304,23821,22427,613,8
1690,18,67,2001,3,Female,356 Plum Boulevard,3293,-947,15832,32281,80882,630,2
1474,23,65,1996,12,Female,359 Tenth Avenue,425,-9639,21757,44361,71031,705,1
1908,78,66,1942,2,Female,3601 Catherine Boulevard,3597,-8394,24801,44469,12777,733,5
1746,53,68,1966,12,Female,3606 Federal Boulevard,4076,-7374,37891,77254,191349,701,5
717,23,65,1996,8,Female,361 Fourth Street,2804,-8196,26325,53675,82373,659,5
1768,28,65,1991,9,Female,3615 Lafayette Boulevard,4043,-7534,25205,51391,84768,573,1
80,82,67,1937,8,Female,362 Martin Luther King Street,4101,-8447,15090,21815,1597,498,5
671,37,66,1982,4,Female,363 Main Lane,3593,-8992,16689,34032,68762,769,2
20,86,67,1933,12,Female,3631 Plum Boulevard,3242,-971,19477,23371,0,757,8
1849,39,66,1980,11,Female,364 12th Drive,4713,-1224,20345,41483,64098,721,2
1367,49,67,1970,6,Female,364 Plum Lane,4452,-8798,16801,34255,36094,708,4
990,91,67,1929,1,Female,365 Mountain View Boulevard,3009,-9099,16474,27150,2007,737,1
399,37,68,1982,5,Female,365 Ocean Lane,4235,-7185,31514,64252,92973,802,2
1726,67,65,1952,10,Female,3667 Washington Avenue,2775,-8264,34974,23533,23132,687,1
1426,22,66,1997,4,Female,37 Norfolk Boulevard,4033,-7403,56252,114692,91575,805,2
920,41,68,1978,11,Female,37 Sixth Lane,3511,-10662,14078,28704,103891,700,2
539,21,68,1998,8,Female,3701 Birch Street,427,-8455,16954,34568,81953,765,1
854,26,65,1994,2,Female,3716 North Boulevard,4164,-8844,29281,59699,71110,688,1
1873,51,67,1968,12,Female,3722 Valley Boulevard,3184,-10643,16823,34302,84935,651,3
108,50,68,1969,11,Female,373 Sussex Drive,3144,-9345,18709,38142,0,768,4
665,81,65,1939,1,Female,374 Lexington Street,4123,-8081,12406,11613,427,790,8
223,37,67,1982,10,Female,3748 Mountain View Drive,3878,-12137,28760,58637,87340,803,6
1169,51,68,1968,11,Female,375 Hillside Drive,3054,-9764,30358,61901,29627,726,7
504,38,68,1982,1,Female,377 Mountain View Drive,3788,-8949,16825,34311,61776,705,2
216,60,66,1959,5,Female,378 Fourth Boulevard,3992,-8536,16273,33178,85620,687,3
457,34,65,1985,10,Female,378 West Boulevard,3519,-8083,17817,36324,56689,705,4
